"","ppt","competent","smart","educated","intelligent","successful","sociable","friendly","nice","honest","pleasant","irritated","interested","enthusiastic","frustrated","annoyed","happy","trustworthy","easy","fluent","strong","affect","status","solidarity","country_native","country_nonnative","learn_future","P1_Q4","P1_Q5","decision_making","P2_Q4","P2_Q5","bet_before","expertise_betting","IN_ANALYSIS_AUDIO","IN_ANALYSIS_EXPERTISE","naturalness","exposure","speaker"
"290",505,8,7,7,7,6,6,6,6,7,6,9,8,8,9,9,5,8,8,9,6,8,7,6.2,"Somewhere north of the country?","Possibly the middle east?","Native speaker","Yes","1","I decided based on the confidence of the speakers. Both the native and non native speaker seemed much more confident in the way they spoke about the horses I placed the highest bets on (no ums and ahs) - however there were more 'cuts' in the audio in these so they might not have been confident and just cut the pauses out. ","To find out if people prefer information from native or non native speakers? ","","Yes","1","Yes","Yes",7,6,"nonnative"
"291",506,7,5,5,5,6,4,4,4,4,4,7,3,3,8,8,4,5,7,9,6,5.5,5.6,4,"Ireland","France","Native speaker","Yes","2","Partly on the descriptions if I could understand what was being said, but if I couldn't unerstand then just randomly.","Opinions of native versus non-native speakers","","Yes","2","Yes","Yes",7,8,"native"
"292",507,4,3,2,2,2,2,2,5,5,1,8,8,7,8,2,3,1,5,6,6,6,2.6,3,"Scotland/Nothern","Norway/Germany","Non-native speaker","Yes","2","Based on my level of interest","To determine whether we choose something based on how someone describes it/their tone","","Yes","2","Yes","Yes",8,9,"native"
"293",508,6,4,5,5,5,4,3,5,5,5,8,5,2,8,8,5,5,8,8,7,6,5,4.4,"North England","Spain","Native speaker","Yes","1","how well it seems the horse was doing","","","Yes","1","Yes","Yes",7,7,"native"
"294",509,5,5,5,5,5,6,6,6,5,6,5,5,5,5,7,5,5,4,4,7,5.33333333333333,5,5.8,"UK","Spain","Native speaker","Yes","3","Split the money evenly ","To see peoples betting behaviour ","","Yes","3","Yes","Yes",7,5,"nonnative"
"295",510,8,8,8,8,7,6,7,7,8,7,8,6,5,8,8,5,7,8,8,7,6.66666666666667,7.8,7,"Couldn't guess ","Couldn't guess","Native speaker","Yes","2","Based on what was said by the speakers","If there is a difference in non-native and native and trust worthiness ","","Yes","2","Yes","Yes",5,9,"native"
"296",512,5,5,6,5,6,5,5,6,5,6,7,6,4,7,7,6,5,7,7,7,6.16666666666667,5.4,5.4,"no","no","Non-native speaker","Yes","1","listened to what they had to say","to see if people bet more with the native speaker","","Yes","1","Yes","Yes",5,8,"native"
"297",513,6,5,6,6,4,3,4,3,6,6,9,3,4,9,9,6,6,4,5,4,6.66666666666667,5.4,4.4,"UK","Netherlands","Native speaker","Yes","2","How persuading the descriptions were ","peoples views on native compared to non-native speakers","","Yes","2","Yes","Yes",4,5,"nonnative"
"298",514,7,8,8,8,8,7,7,7,7,7,9,3,4,5,6,5,8,5,7,7,5.33333333333333,7.8,7,"Scotland","Spain ","Native speaker","No","1","I listened to what they said about their performance previously ","To see if we trust native or non-native speakers more","","No","1","Yes","Yes",8,5,"nonnative"
"299",515,9,9,9,9,9,7,8,8,9,8,9,9,7,9,9,7,9,6,9,7,8.33333333333333,9,8,"northern but unsure where ","European (maybe greek)","Non-native speaker","Yes","1","tried to listen to specific mention of where gorses had placed in the past ","to see if people find native speakers more trustworthy than non native speakers despite being told they have the same level of expertise ","","Yes","1","Yes","Yes",4,6,"nonnative"
"300",516,7,6,8,7,5,5,5,5,6,6,9,4,5,9,9,5,5,8,9,4,6.83333333333333,6.6,5.4,"Yorkshire","Czechia ","Native speaker","Yes","1","How enthusiastically the experts spoke about the horses","Whether people are more likely to take advice from native speakers.","","Yes","1","Yes","Yes",7,9,"native"
"301",517,2,2,3,3,3,3,3,7,4,5,3,2,2,3,3,5,4,4,7,3,3,2.6,4.4,"Spain","Northern England","Non-native speaker","Yes","1","By which speaker sounded most interested in their horse","To see the influence of accents","","Yes","1","Yes","Yes",5,3,"native"
"302",519,9,9,7,9,8,9,9,9,8,9,9,8,8,9,9,7,7,7,9,6,8.33333333333333,8.4,8.8,"Newcastle","Italy","Non-native speaker","Yes","1","Based upon how good the horses sounded based on the descriptions and the enthusiasm with which they were described","See the impact of accents on trust","","Yes","1","Yes","Yes",7,3,"nonnative"
"303",521,7,7,7,7,8,6,8,8,6,7,7,3,4,9,9,4,5,5,6,6,6,7.2,7,"Poland","England","Non-native speaker","Yes","2","Based on their information shared ","Different speaker to if people bet more","","Yes","2","Yes","Yes",7,9,"native"
"304",523,5,4,6,5,4,5,6,7,7,7,9,5,6,9,9,6,7,9,9,4,7.33333333333333,4.8,6.4,"Leeds","Asian","Native speaker","Yes","1","Based upon what the speaker said","To see peoples opinions on native and non native english language","na","Yes","1","Yes","Yes",9,9,"native"
"305",524,4,6,5,4,5,4,4,4,4,4,8,3,3,5,6,5,4,8,8,8,5,4.8,4,"manchester","spain","Non-native speaker","No","1","randomly","whether people bet more on native speakers or non native","","No","1","Yes","Yes",6,9,"native"
"306",525,7,8,8,7,7,6,6,6,7,6,7,6,5,8,9,5,5,9,9,6,6.66666666666667,7.4,6.2,"South","Slovakia","Non-native speaker","Yes","1","Based on what they said about the horses","To determine whether accents influence decisions more?","","Yes","1","Yes","Yes",4,9,"native"
"307",526,3,6,6,6,6,6,6,6,6,5,4,5,2,8,7,5,5,2,2,8,5.16666666666667,5.4,5.8,"spain","manchester","Native speaker","Yes","1","to what i thought was the better horse, stronger horses","to see peoples behaviours towards accents/betting","","Yes","1","Yes","Yes",8,4,"nonnative"
"308",528,6,6,7,7,6,5,6,6,7,6,8,6,6,8,8,5,6,7,8,7,6.83333333333333,6.4,6,"England","France","Native speaker","No","1","I listened closely to what the speakers said about the horses and what i could understand, and also how confident they sounded","To see if people are biased towards people with different accents","","No","1","Yes","Yes",6,9,"native"
"309",529,6,5,5,5,5,5,5,5,5,5,8,7,5,8,8,5,5,8,8,4,6.83333333333333,5.2,5,"UK","India","Native speaker","No","1","I tried to base it on the content of the recordings, particularly on whether each horse had a previous record of success","Determine how someone's accent affects perceptions of their competence, trustworthiness, etc.","n/a","No","1","Yes","Yes",4,9,"native"
"310",531,5,5,5,5,5,6,7,7,5,6,9,5,5,9,9,5,5,7,7,6,7,5,6.2,"Scotland","Spain","Native speaker","Yes","1","Based on the information provided. If I wasn't sure I went with a lower bet","I don't know","","Yes","1","Yes","Yes",4,4,"nonnative"
"311",532,6,5,5,6,7,6,7,8,7,6,8,6,5,8,9,6,7,8,7,7,7,5.8,6.8,"Leeds","China","Native speaker","Yes","1","based on the facts shared by the speakers","to see if an accent can influence individuals trust and subsequently betting behaviours","","Yes","1","Yes","Yes",9,9,"native"
"312",534,5,6,5,5,5,4,4,5,5,5,9,1,3,9,9,4,5,9,9,5,5.83333333333333,5.2,4.6,"England","France","Native speaker","Yes","1","Evenly across 3 ","Trust in different accents ","","Yes","1","Yes","Yes",8,9,"native"
"313",537,5,5,5,5,4,5,4,5,7,6,4,4,3,6,4,7,6,8,9,6,4.66666666666667,4.8,5.4,"england","india","Native speaker","Yes","2","by how confident they spoke about the horse ","unsure","","Yes","2","Yes","Yes",7,9,"native"
"314",539,9,6,5,5,5,6,6,6,6,6,9,1,1,9,9,1,5,9,7,8,5,6,6,"unsure","unsure","Native speaker","Yes","1","Just went off the most information given, that sounds more promising.","unsure.","","Yes","1","Yes","Yes",5,7,"nonnative"
"315",540,8,8,8,8,9,7,8,9,8,8,8,8,8,8,9,7,8,6,8,6,8,8.2,8,"sheffield","france","Native speaker","Yes","1","I listened to how they described the horses success but I dont know much about horse racing so it was largely a guess","To gauge peoples opinions of native vs non native speakers","","Yes","1","Yes","Yes",6,5,"nonnative"
"316",541,7,7,8,6,7,6,8,7,7,7,9,4,5,9,9,6,5,8,7,8,7,7,7,"Manchester","Spain","Non-native speaker","No","2","Based on the information given","See how different accents affect our decision making","no","No","2","Yes","Yes",5,7,"nonnative"
"317",543,8,9,8,8,8,5,7,7,7,7,8,7,6,8,8,6,8,7,9,4,7.16666666666667,8.2,6.6,"Scotland","Italy","Non-native speaker","Yes","1","tried to listen to the facts","to see if there is a negative bias towards non-native speakers","","Yes","1","Yes","Yes",8,3,"nonnative"
"318",544,9,8,8,9,8,8,8,7,7,7,8,7,7,8,8,7,8,9,9,9,7.5,8.4,7.4,"London","Sri Lanka","Native speaker","Yes","1","I listened out for previous successes ","to see if people prefer native or non native speakers.","","Yes","1","Yes","Yes",5,9,"native"
"319",545,6,8,8,8,6,7,8,7,9,7,9,6,4,7,9,5,7,5,7,7,6.66666666666667,7.2,7.6,"Northern England","India","Non-native speaker","No","1","Based on the descriptions and details provided. The one that gave more details and spoke to longer lengths about the horse garnered my attention more.","Whether a non-native speaker of English is a detriment to them providing information/tips on a subject.","","No","1","Yes","Yes",7,4,"nonnative"
"320",546,6,7,5,6,6,6,7,8,7,7,5,7,6,3,6,5,5,4,4,6,5.33333333333333,6,7,"no","France ","Native speaker","Yes","1","based mostly on the look of them","to see what influences decisions ","it was hard to understand the non native speaker but it was more interesting to listen to.","Yes","1","Yes","Yes",4,4,"nonnative"
"321",547,9,7,7,8,5,6,6,7,7,7,9,6,6,9,9,5,7,7,8,7,7.33333333333333,7.2,6.6,"Don't know","France","Non-native speaker","No","1","Based on the quality of information given","The influence of accents on people's trustworthiness?","","No","1","Yes","Yes",5,1,"nonnative"
"322",548,8,7,8,8,8,8,8,8,8,8,8,8,6,8,8,7,8,9,9,5,7.5,7.8,8,"Scotland","Spain","Native speaker","Yes","1","Language used to describe the horses","How we perceive information differently between native and non native speakers","N/A","Yes","1","Yes","Yes",8,8,"native"
"323",549,4,4,4,5,5,3,4,4,3,4,8,4,3,7,6,3,3,6,8,6,5.16666666666667,4.4,3.6,"Scotland","Eastern Europe","Native speaker","Yes","2","I usually bet equally ","To see how the accent may influence the way I bet","N/A","Yes","2","Yes","Yes",6,4,"nonnative"
"324",551,7,5,5,5,5,5,5,5,5,5,9,5,5,9,9,5,4,3,3,9,7,5.4,5,"Manchester United Kingdom","India","Native speaker","Yes","2","Tried to listen to the tips and take faith in the voices.","Understand perception of native and non native voices","","Yes","2","Yes","Yes",7,6,"nonnative"
"325",553,3,6,6,5,6,7,5,3,6,3,6,6,4,3,3,3,7,9,9,4,4.16666666666667,5.2,4.8,"England","France","Native speaker","No","1","I didn't understand much of the differences between the horses so I trusted the speakers judgement ","To examine bias of native/ non-native speakers ","","No","1","Yes","Yes",7,9,"native"
"326",554,7,6,6,6,6,7,7,7,7,6,9,3,3,9,9,4,7,6,5,7,6.16666666666667,6.2,6.8,"Midlands","Spain","Native speaker","Yes","2","Mainly guesses","how people perceive non-natives","","Yes","2","Yes","Yes",7,3,"nonnative"
"327",555,8,8,8,8,8,7,6,8,7,6,8,6,6,8,8,6,6,8,8,6,7,8,6.8,"Newcastle, UK","Spain","Native speaker","Yes","1","The names of the horses","The difference between receiving information from native and non native persons","","Yes","1","Yes","Yes",7,8,"nonnative"
"328",563,8,8,8,8,8,9,9,8,9,8,9,8,8,9,9,7,9,7,7,4,8.33333333333333,8,8.6,"Northern England","Unsure","Native speaker","Yes","2","Different comments from the commentators","see bias or judgement for different accents","","Yes","2","Yes","Yes",7,5,"nonnative"
"329",567,6,6,6,6,5,6,7,7,5,7,9,5,5,7,9,3,5,6,6,7,6.33333333333333,5.8,6.4,"No","No","Non-native speaker","Yes","1","I struggled I only put down £20 I wasn't really convinced by either speaker the native speaker sounded uninterested","To see how people react to native speakers compared to non native speakers","No","Yes","1","Yes","Yes",6,6,"nonnative"
"330",570,8,8,8,8,8,6,7,8,8,8,9,6,6,9,9,5,6,7,8,7,7.33333333333333,8,7.4,"Yorkshire","China","Native speaker","Yes","2","Purely a guess on if the next one would be better or worse","Opinions on native v non native speakers ","","Yes","2","Yes","Yes",6,5,"nonnative"
"331",572,2,2,3,2,4,2,6,7,6,4,3,2,2,5,5,4,3,6,1,1,3.5,2.6,5,"UK","Eastern Europe","Non-native speaker","Yes","1","put more on tips from non-native speaker","Determine influence of native speaker vs non-native speaker","","Yes","1","Yes","Yes",5,7,"native"
"332",573,5,5,6,6,5,5,6,7,7,5,7,5,5,7,7,5,7,7,7,8,6,5.4,6,"UK","Somewhere in Europe, maybe Spain though I'd need to listen again- couldn't really understand much she was saying thp","Native speaker","No","1","Honestly it was a little random as I couldn't understand the non-native speaker very well","To see if we bet more when the speaker is native","Couldn#t understand non native woman so didn't know what to bet","No","1","Yes","Yes",4,8,"native"
"333",575,9,7,6,6,9,5,6,6,9,6,9,5,5,6,9,5,9,8,8,4,6.5,7.4,6.4,"Northern England","France","Non-native speaker","Yes","1","Based on previous wins and the opinion of the horses","To see if people find a native of their country more trustworthy","","Yes","1","Yes","Yes",4,9,"native"
"334",576,7,6,6,6,5,5,6,5,5,7,9,5,5,9,9,5,8,8,8,6,7,6,5.6,"UK","France","Native speaker","No","1","Based on clarity of the speaker","Unsure","","No","1","Yes","Yes",6,4,"nonnative"
"335",577,8,7,7,7,7,7,8,8,8,7,9,4,4,9,9,4,7,6,8,6,6.5,7.2,7.6,"Scotland","South-asia","Native speaker","No","1","I thought the information contained in some of them seemed more objective (based on results etc) and was more in depth.","n/a","n/a","No","1","Yes","Yes",8,9,"native"
"336",579,3,3,2,2,3,4,3,4,4,3,4,3,3,6,6,2,4,6,6,7,4,2.6,3.6,"Birmingham","Pakistan","Non-native speaker","No","1","BAsed on what was said and how they sounded","To listen to voices","","No","1","Yes","Yes",5,9,"native"
"337",583,8,8,8,8,8,7,7,8,9,8,9,7,7,9,9,7,8,8,7,6,8,8,7.8,"UK","France","Native speaker","Yes","1","Based on how they describe the horses","To see how trustworthy etc people find native/non-native voices","","Yes","1","Yes","Yes",5,8,"nonnative"
"338",584,7,8,7,7,7,7,7,7,7,7,8,3,4,9,9,3,7,7,5,7,6,7.2,7,"england","spain","Native speaker","Yes","2","past performance and consistency","","","Yes","2","Yes","Yes",5,5,"nonnative"
"339",585,8,7,6,7,7,5,6,8,7,7,9,7,5,9,9,5,7,8,9,6,7.33333333333333,7,6.6,"scotland","spain","Native speaker","Yes","1","cautiously but going off what they had said - certain horses appeared to be likely to do better","evaluate prejudice when it comes to people/their accents","","Yes","1","Yes","Yes",7,8,"native"
"340",586,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,8,8,9,7,7.16666666666667,7,7,"South West","INdia","Non-native speaker","Yes","1","I don't understand horse racing terms so went with what sounded better","Judgement based on understanding accents","Both audios were difficult to hear based on the cuts in audio","Yes","1","Yes","Yes",8,3,"nonnative"
"341",587,3,4,4,4,4,4,4,5,6,5,4,3,3,5,6,3,4,3,3,6,4,3.8,4.8,"Norwich","France","Non-native speaker","Yes","1","Based on the description of the horses","To determine the emotions of listening to different accents","","Yes","1","Yes","Yes",9,8,"native"
"342",591,6,7,7,7,6,5,5,6,6,5,4,3,2,5,4,4,7,3,6,8,3.66666666666667,6.6,5.4,"Scotland","Italy","Native speaker","No","1","I tried to base my bets off the information the two speakers gave me about the horses.  However, I will admit that I struggled to understand the non-native speaker's accent at times and that also affected how I placed the bets.","To see how people react to native vs non-native speakers and whether or not an accent can have an effect on how we view someone's information/opinion/expertise.","","No","1","Yes","Yes",5,5,"nonnative"
"343",593,7,6,6,6,7,5,6,6,6,6,9,6,6,9,9,6,6,7,8,1,7.5,6.4,5.8,"England","India","Non-native speaker","Yes","1","Even distribution between the two most confident sounding descriptions","To study racial biases","","Yes","1","Yes","Yes",7,9,"native"
"344",597,8,8,8,8,8,6,6,8,7,7,8,8,8,8,8,8,8,4,8,5,8,8,6.8,"yorkshire","france","Native speaker","Yes","3","I used all the money on the one horse I thought sounded the most promising","to see if I, an native speaker, was more likely to trust someone who speaks the same language","","Yes","3","Yes","Yes",5,2,"nonnative"
"345",600,7,5,6,6,5,6,6,6,8,8,8,6,4,8,8,4,7,8,8,6,6.33333333333333,5.8,6.8,"Northern England","not sure","Native speaker","Yes","1","How well I could understand the speaker","To see if there is a positive bias towards people who speak the same as you","","Yes","1","Yes","Yes",7,9,"native"
"346",601,7,5,7,7,7,7,7,7,8,7,6,8,8,3,2,6,7,9,8,7,5.5,6.6,7.2,"england","no","Native speaker","No","1","based on the comments made","to decide if people trust native speakers more as they are familiar.","i based my decision on the facts rather than who was saying them","No","1","Yes","Yes",7,9,"native"
"347",610,8,7,8,8,8,7,8,7,8,9,9,7,6,9,9,6,9,7,9,6,7.66666666666667,7.8,7.8,"Manchester","Not sure","Non-native speaker","Yes","1","Mostly even, but there were a few that stood out slightly more","How trustworthy we thought the native/non-native speaker using our betting behaviour as a measure of bias?","","Yes","1","Yes","Yes",7,5,"nonnative"
"348",611,6,7,5,6,6,4,6,6,7,6,9,6,5,9,9,7,6,9,9,8,7.5,6,5.8,"England","Brazil","Native speaker","No","1","Based on relation to other races","If we downplay the bet based on accents","","No","1","Yes","Yes",8,9,"native"
"349",612,9,8,7,8,7,8,7,8,8,8,8,7,6,8,8,8,7,9,9,7,7.5,7.8,7.8,"Spain","England","Native speaker","Yes","1","Based upon the information provided by the speakers","To gauge people's responses to a native speaker in comparison to a non-native speaker and the impact this has on their ability to learn from them ","","Yes","1","Yes","Yes",7,9,"native"
"350",613,7,6,6,6,6,2,5,5,4,5,6,3,3,8,8,3,5,6,7,6,5.16666666666667,6.2,4.2,"England","Asia","Native speaker","Yes","1","I bet more on horses that received a lot of praise, but I bet a little on every horse.","To see how someone's accent can affect how they are perceived, if native speakers are seen as more intelligent than non-native speakers. ","","Yes","1","Yes","Yes",4,8,"native"
"351",614,5,5,5,5,5,5,5,5,5,5,9,4,4,9,9,4,5,5,4,5,6.5,5,5,"Scotland","Spain","Native speaker","Yes","3","How they ran in previous races","to see if betting on horses are swayed when being told information by native or non-native speakers","","Yes","3","Yes","Yes",4,5,"native"
"352",615,7,8,7,8,8,8,9,9,7,9,8,8,7,8,8,8,8,8,9,6,7.83333333333333,7.6,8.4,"England","Spain","Non-native speaker","Yes","1","Based on their discussion","Understand peoples experience of native speakers","","Yes","1","Yes","Yes",8,3,"nonnative"
"353",617,2,4,4,4,2,4,4,4,5,4,3,3,1,4,4,2,3,6,7,5,2.83333333333333,3.2,4.2,"England","Spain","Non-native speaker","No","1","Mostly even with a differences coming from recent 'results' and the speaker's confidence.","To understand how fluency of speech influences the listener's trust.","","No","1","Yes","Yes",5,9,"native"
